id,name,topics,n_star,n_fork,languages,p_lang
r_0,jamesarosen/ruby-tidbits,[],3,1,['l_0'],['100.00']
r_1,mootools/mootools-core,[],2615,559,"['l_1', 'l_2', 'l_3', 'l_4']","['93.15', '3.19', '2.49', '1.18']"
r_2,cypher/codebutler,[],3,1,['l_0'],['100.00']
r_3,directeur/pyapml,[],3,1,[],[]
r_4,mars888/lisp_web,[],1,0,['l_5'],['100.00']
r_5,CarlosGabaldon/my_way,[],7,1,['l_0'],['100.00']
r_6,crafterm/capture,[],6,5,"['l_0', 'l_1']","['62.87', '37.13']"
r_7,btakita/piston,[],2,0,"['l_0', 'l_1']","['84.04', '15.96']"
r_8,aphyr/exocora,[],3,1,['l_0'],['100.00']
r_9,mattetti/merb_paginate,[],7,2,['l_0'],['100.00']
r_10,xenoterracide/etc,[],3,1,[],[]
r_11,bcbroom/getfamilliarwithgit,[],2,2,[],[]
r_12,russ/gosu-tetris,[],5,0,['l_0'],['100.00']
r_13,auser/frankie,[],4,0,['l_0'],['100.00']
r_14,mojombo/erlectricity,[],343,56,"['l_0', 'l_6', 'l_7', 'l_4']","['73.84', '15.64', '7.20', '3.32']"
r_15,bobbyrward/tonal,[],2,2,"['l_8', 'l_4']","['99.47', '0.53']"
r_16,jesper/knuff,[],3,4,['l_9'],['100.00']
r_17,vuq/test1,[],2,0,[],[]
r_18,koke/ruby-git,[],2,0,['l_0'],['100.00']
r_19,nathansobo/screw-unit,[],185,55,"['l_1', 'l_0']","['71.82', '28.18']"
r_20,kassoulet/dose2,[],3,4,['l_6'],['100.00']
r_21,zsx/hotwire,[],3,1,['l_8'],['100.00']
r_22,jdelStrother/rspec,[],4,0,['l_0'],['100.00']
r_23,drone-rites/topo,[],4,1,['l_8'],['100.00']
r_24,ggriffiniii/scripts,[],3,2,['l_10'],['100.00']
r_25,krobertson/tidbits,[],3,1,['l_6'],['100.00']
r_26,peimei/actsassubscribeable,[],4,3,['l_0'],['100.00']
r_27,rmm5t/smhelper-obfuscated-email,[],6,2,['l_0'],['100.00']
r_28,jerrett/merb_hpreserve,[],3,1,['l_0'],['100.00']
r_29,halorgium/steer,[],3,1,['l_0'],['100.00']
r_30,kch/search_object,[],4,1,['l_0'],['100.00']
r_31,reinh/bin,[],2,0,"['l_0', 'l_10', 'l_4']","['74.45', '20.47', '5.08']"
r_32,cardmagic/capistrano,[],2,0,['l_0'],['100.00']
r_33,metaskills/remote_shared_cache,[],7,2,[],[]
r_34,edspencer/ext-mvc,[],11,0,['l_1'],['100.00']
r_35,rubyisbeautiful/merb-core,[],4,0,"['l_0', 'l_1']","['98.24', '1.76']"
r_36,Ramarren/cl-transactional,[],5,2,['l_5'],['100.00']
r_37,mojombo/yaws,[],42,10,"['l_7', 'l_1', 'l_4', 'l_11', 'l_2', 'l_6', 'l_12', 'l_13', 'l_14', 'l_15']","['87.63', '3.09', '2.77', '2.07', '1.81', '1.30', '0.48', '0.39', '0.35', '0.11']"
r_38,purcell/mockr,[],2,0,['l_0'],['100.00']
r_39,tgdavies/calex,[],3,0,[],[]
r_40,mislav/bluecloth,[],50,8,"['l_0', 'l_10']","['52.26', '47.74']"
r_41,beppu/learning,[],3,0,"['l_0', 'l_1']","['97.37', '2.63']"
r_42,lukemelia/rspec-tmbundle,[],3,0,['l_0'],['100.00']
r_43,cyberfox/jbidwatcher,[],207,78,"['l_13', 'l_0', 'l_16', 'l_2', 'l_17', 'l_18', 'l_4', 'l_11']","['86.36', '12.67', '0.43', '0.17', '0.12', '0.11', '0.09', '0.05']"
r_44,jdelStrother/rails,[],3,0,"['l_0', 'l_1', 'l_2', 'l_14', 'l_19', 'l_4', 'l_20', 'l_16']","['95.09', '3.62', '0.59', '0.44', '0.16', '0.08', '0.02', '0.01']"
r_45,aiwilliams/plugit,[],3,2,['l_0'],['100.00']
r_46,obeattie/django-geo,[],11,2,['l_8'],['100.00']
r_47,dbgrandi/googlecharts,[],2,0,"['l_0', 'l_1']","['73.86', '26.14']"
r_48,michaelklishin/storygen,[],12,3,['l_0'],['100.00']
r_49,fightinjoe/restful-authentication,[],8,1,['l_0'],['100.00']
r_50,sverrejoh/emacs-torrent,[],8,2,['l_12'],['100.00']
r_51,infused/dbf,"['ruby', 'dbf', 'dbase', 'xbase', 'database', 'foxpro']",249,85,['l_0'],['100.00']
r_52,EugZol/strokedb,[],2,1,['l_0'],['100.00']
r_53,amandasaurus/python-osm,[],15,23,['l_8'],['100.00']
r_54,mallipeddi/django-yslow,[],16,0,['l_8'],['100.00']
r_55,TheDragon/blog,[],3,1,"['l_0', 'l_1']","['99.28', '0.72']"
r_56,kovyrin/smart-proxy,[],11,1,['l_0'],['100.00']
r_57,kmarsh/tumblr,[],11,5,"['l_0', 'l_2', 'l_14']","['44.30', '30.33', '25.37']"
r_58,kamu/wang,[],3,0,['l_0'],['100.00']
r_59,nkallen/jquery-database,[],51,7,[],[]
r_60,michaelmelanson/erlbot,[],5,4,['l_7'],['100.00']
r_61,sevenwire/forgery,[],790,104,"['l_0', 'l_2']","['99.53', '0.47']"
r_62,cardmagic/merb-more,[],3,1,['l_0'],['100.00']
r_63,michaelmelanson/cweb-tmbundle,[],4,0,[],[]
r_64,jmckible/stardate,[],5,2,"['l_0', 'l_21', 'l_1', 'l_20', 'l_22', 'l_2', 'l_4', 'l_23']","['76.75', '13.66', '4.45', '2.01', '1.62', '1.42', '0.08', '0.02']"
r_65,halfbyte/localhost3000-de-wordpress-theme,[],3,0,"['l_3', 'l_1']","['55.23', '44.77']"
r_66,TekNoLogic/Buffet,[],19,25,['l_24'],['100.00']
r_67,robbyrussell/year_after_year,[],24,3,['l_0'],['100.00']
r_68,ryenski/radiant-comments,[],44,34,['l_0'],['100.00']
r_69,ozamosi/tomboy-blogposter,[],13,4,['l_25'],['100.00']
r_70,cannikin/alfred,[],3,2,"['l_0', 'l_1']","['86.35', '13.65']"
r_71,bmizerany/rack-mirror,[],3,1,['l_0'],['100.00']
r_72,nesquena/active_form,[],25,5,['l_0'],['100.00']
r_73,taf2/sick,[],5,0,[],[]
r_74,segfault/mephisto_feedreader,[],9,5,['l_0'],['100.00']
r_75,technomancy/bus-scheme,[],35,7,"['l_0', 'l_26']","['90.98', '9.02']"
r_76,rubaidh/timestamped_booleans,[],4,2,['l_0'],['100.00']
r_77,adamhjk/puppet,[],3,0,"['l_0', 'l_4', 'l_12', 'l_27', 'l_28', 'l_8', 'l_11', 'l_2']","['98.60', '0.59', '0.35', '0.31', '0.11', '0.03', '0.00', '0.00']"
r_78,jfernandez/submarine,[],4,0,['l_0'],['100.00']
r_79,technoweenie/can_search,[],93,8,['l_0'],['100.00']
r_80,bruce/rtex,[],56,25,['l_0'],['100.00']
r_81,myabc/nbmerb,[],5,0,['l_13'],['100.00']
r_82,halfbyte/cmdv3,[],3,1,"['l_1', 'l_0']","['78.44', '21.56']"
r_83,jney/catface,[],10,4,['l_1'],['100.00']
r_84,signup-disabled/mega,[],3,0,[],[]
r_85,shayanoh/ismile,[],3,0,['l_18'],['100.00']
r_86,cv/rolling-with-the-punches,[],18,3,['l_0'],['100.00']
r_87,tjackiw/uses_connection,[],6,0,['l_0'],['100.00']
