id,user,repos,commits
u_0,CarlosGabaldon,['r_269'],[7]
u_1,Croebh,['r_318'],[4]
u_2,DrMark,['r_492'],[1]
u_3,ELLIOTTCABLE,"['r_84', 'r_174', 'r_640', 'r_679', 'r_742', 'r_747']","[3, 7, 70, 3, 3, 23]"
u_4,IceskYsl,['r_354'],[8]
u_5,Jabbslad,['r_874'],[2]
u_6,JackDanger,['r_240'],[25]
u_7,Kaboca,['r_318'],[5]
u_8,KirinDave,"['r_14', 'r_37', 'r_784']","[2, 3, 3]"
u_9,LeonB,['r_683'],[29]
u_10,Ramarren,"['r_36', 'r_463', 'r_575']","[30, 24, 103]"
u_11,TwP,['r_710'],[1]
u_12,Xerrabaldy,['r_318'],[3]
u_13,abhay,['r_14'],[2]
u_14,aiwilliams,['r_45'],[19]
u_15,alsemyonov,['r_339'],[6]
u_16,andykent,['r_125'],[3]
u_17,angus-c,['r_201'],[1]
u_18,arnorhs,['r_201'],[1]
u_19,arya,['r_657'],[2]
u_20,ascarter,['r_32'],[1]
u_21,bbigras,['r_872'],[1]
u_22,bcbroom,['r_11'],[1]
u_23,be9,['r_512'],[9]
u_24,beastaugh,['r_238'],[321]
u_25,bikerduweb,['r_302'],[10]
u_26,binnyva,['r_361'],[13]
u_27,bitbckt,['r_743'],[12]
u_28,bitboxer,['r_785'],[5]
u_29,bjeanes,"['r_451', 'r_704']","[7, 2]"
u_30,bkeepers,['r_590'],[6]
u_31,bmaland,['r_336'],[14]
u_32,bosko,['r_704'],[1]
u_33,brantb,['r_318'],[2]
u_34,bscofield,"['r_126', 'r_363']","[7, 1]"
u_35,btbytes,['r_362'],[21]
u_36,bwbuchanan,['r_14'],[3]
u_37,caffo,['r_640'],[2]
u_38,caldwell,['r_872'],[3]
u_39,calvincorreli,['r_581'],[3]
u_40,cannikin,['r_70'],[63]
u_41,choan,"['r_91', 'r_271']","[4, 10]"
u_42,cjmartin,['r_442'],[51]
u_43,ckaotik,['r_318'],[1]
u_44,cnix,"['r_594', 'r_678']","[5, 5]"
u_45,corasaurus-hex,['r_750'],[3]
u_46,courtenay,['r_40'],[1]
u_47,crafterm,"['r_210', 'r_434']","[4, 4]"
u_48,croaky,['r_153'],[2]
u_49,ctrochalakis,"['r_625', 'r_648']","[41, 2]"
u_50,cv,['r_86'],[16]
u_51,cwsaylor,['r_420'],[2]
u_52,cypher,['r_785'],[22]
u_53,czottmann,['r_104'],[2]
u_54,d2207197,['r_872'],[1]
u_55,dag,['r_287'],[21]
u_56,daikini,['r_759'],[5]
u_57,danielmorrison,"['r_590', 'r_777']","[11, 5]"
u_58,danimal,['r_276'],[12]
u_59,danlucraft,['r_770'],[10]
u_60,dashboard-xx,['r_311'],[75]
u_61,dausech,['r_346'],[8]
u_62,davidelbe,['r_460'],[5]
u_63,dchelimsky,['r_271'],[1]
u_64,defunkt,"['r_157', 'r_249', 'r_461', 'r_545', 'r_650', 'r_751', 'r_781', 'r_860', 'r_861']","[2, 2, 1, 5, 6, 8, 3, 1, 6]"
u_65,delynn,['r_279'],[5]
u_66,dfischer,['r_462'],[10]
u_67,dhh,"['r_32', 'r_267']","[11, 2]"
u_68,directeur,['r_3'],[1]
u_69,djanowski,['r_119'],[1]
u_70,drnic,"['r_91', 'r_101', 'r_271', 'r_771', 'r_862']","[170, 9, 79, 44, 58]"
u_71,drone-rites,"['r_199', 'r_470', 'r_797']","[2, 40, 11]"
u_72,dustin,"['r_124', 'r_478', 'r_571', 'r_579']","[100, 181, 32, 97]"
u_73,dxoigmn,"['r_311', 'r_780']","[151, 145]"
u_74,elskwid,['r_743'],[9]
u_75,eric,['r_743'],[4]
u_76,ericgoodwin,['r_891'],[11]
u_77,fairchild,['r_835'],[5]
u_78,farktronix,['r_133'],[13]
u_79,fbettag,['r_195'],[1]
u_80,flavorjones,['r_620'],[31]
u_81,flyingmachine,['r_614'],[13]
u_82,fmardini,['r_195'],[1]
u_83,foca,"['r_323', 'r_747']","[18, 3]"
u_84,francois,"['r_546', 'r_654']","[19, 431]"
u_85,freireag,['r_826'],[19]
u_86,frewsxcv,['r_640'],[1]
u_87,fry-devbot,['r_195'],[4]
u_88,fschaefer,['r_201'],[2]
u_89,gdagley,['r_657'],[9]
u_90,ged,['r_40'],[66]
u_91,gherzbrun,['r_318'],[1]
u_92,giom,['r_195'],[4]
u_93,grempe,['r_640'],[1]
u_94,gruner,['r_140'],[3]
u_95,h-lame,['r_723'],[3]
u_96,hadley,['r_659'],[77]
u_97,halfbyte,"['r_82', 'r_97', 'r_315', 'r_728']","[6, 2, 4, 5]"
u_98,hallettj,['r_201'],[2]
u_99,halorgium,"['r_14', 'r_29', 'r_517', 'r_582']","[4, 27, 2, 1]"
u_100,hannesm,['r_201'],[1]
u_101,hb,['r_395'],[33]
u_102,henrik,['r_627'],[22]
u_103,heracek,['r_663'],[13]
u_104,hookercookerman,['r_220'],[1]
u_105,hosh,['r_844'],[5]
u_106,iainlane,['r_69'],[2]
u_107,ianwhite,"['r_535', 'r_815']","[42, 88]"
u_108,imbriaco,['r_32'],[2]
u_109,intabulas,['r_743'],[1]
u_110,jackdempsey,['r_844'],[4]
u_111,jamis,"['r_32', 'r_236', 'r_479', 'r_732']","[373, 10, 13, 32]"
u_112,jarkko,['r_585'],[4]
u_113,jaysoffian,['r_124'],[1]
u_114,jballanc,['r_785'],[1]
u_115,jcfischer,['r_894'],[3]
u_116,jcrosby,['r_554'],[4]
u_117,jeremyevans,"['r_213', 'r_523', 'r_854']","[12, 22, 34]"
u_118,jezdez,['r_377'],[4]
u_119,jf647,['r_318'],[3]
u_120,jiku,['r_705'],[2]
u_121,jimweirich,['r_539'],[5]
u_122,jleverenz,['r_203'],[1]
u_123,jmckible,"['r_181', 'r_347', 'r_514', 'r_574']","[1, 1, 1, 1]"
u_124,jmettraux,"['r_203', 'r_612']","[18, 44]"
u_125,jnewland,"['r_32', 'r_253', 'r_266', 'r_530', 'r_859']","[1, 3, 17, 2, 3]"
u_126,jorrel,['r_393'],[151]
u_127,joshsusser,['r_345'],[1]
u_128,kamal,['r_781'],[1]
u_129,karl,['r_306'],[15]
u_130,kastner,"['r_407', 'r_793']","[8, 13]"
u_131,kch,"['r_30', 'r_431']","[10, 32]"
u_132,keita,"['r_384', 'r_433', 'r_511', 'r_868']","[12, 8, 17, 9]"
u_133,kentaro,['r_786'],[12]
u_134,kerryb,"['r_383', 'r_480']","[17, 10]"
u_135,kevinclark,['r_613'],[7]
u_136,kjell,['r_234'],[1]
u_137,kmarsh,['r_100'],[5]
u_138,kogakure,['r_801'],[3]
u_139,kovyrin,['r_56'],[2]
u_140,kristopher,['r_271'],[3]
u_141,ku,['r_596'],[2]
u_142,kylecordes,['r_883'],[2]
u_143,labria,['r_865'],[17]
u_144,lak,"['r_173', 'r_303']","[2, 2]"
u_145,lancecarlson,['r_510'],[22]
u_146,lastobelus,['r_195'],[2]
u_147,lazyatom,['r_723'],[62]
u_148,lilyball,"['r_318', 'r_397', 'r_650', 'r_861']","[11, 5, 4, 4]"
u_149,lowlee,['r_318'],[1]
u_150,lstoll,['r_506'],[41]
u_151,luizirber,['r_343'],[11]
u_152,lukehoersten,['r_193'],[1]
u_153,lukemelia,['r_781'],[2]
u_154,maborg,['r_154'],[1]
u_155,mackstann,['r_876'],[5]
u_156,maddox,"['r_435', 'r_594', 'r_674', 'r_678', 'r_767']","[4, 71, 15, 71, 2]"
u_157,madrobby,"['r_267', 'r_400']","[447, 77]"
u_158,manewitz,['r_785'],[1]
u_159,markhepburn,['r_872'],[2]
u_160,mathie,['r_537'],[3]
u_161,matthewtodd,['r_886'],[54]
u_162,mattly,['r_750'],[3]
u_163,mattmccray,['r_841'],[2]
u_164,maverickwoo,['r_872'],[1]
u_165,mbsullivan,['r_470'],[3]
u_166,mediogre,['r_545'],[1]
u_167,melo,"['r_632', 'r_636']","[11, 1]"
u_168,metaskills,['r_33'],[6]
u_169,mhennemeyer,"['r_187', 'r_338']","[45, 57]"
u_170,michaelee,['r_197'],[27]
u_171,michaelklishin,['r_48'],[1]
u_172,mislav,"['r_40', 'r_267']","[25, 1]"
u_173,mlarocque,['r_569'],[8]
u_174,mojombo,"['r_14', 'r_37', 'r_552']","[58, 2, 4]"
u_175,mperham,['r_102'],[131]
u_176,mrschyte,['r_800'],[10]
u_177,mully,['r_515'],[3]
u_178,mvanholstyn,['r_870'],[19]
u_179,myabc,"['r_81', 'r_195', 'r_525']","[2, 24, 1]"
u_180,nabeken,['r_645'],[16]
u_181,napcs,['r_88'],[16]
u_182,negonicrac,['r_564'],[5]
u_183,nelstrom,['r_737'],[10]
u_184,nesquena,['r_72'],[4]
u_185,nex3,"['r_453', 'r_606', 'r_650', 'r_861']","[2, 358, 7, 7]"
u_186,nicholasjhenry,['r_777'],[1]
u_187,nick,['r_545'],[2]
u_188,oboxodo,['r_842'],[2]
u_189,oliver,['r_558'],[44]
u_190,olleolleolle,['r_271'],[1]
u_191,osteele,"['r_94', 'r_132', 'r_201', 'r_428', 'r_522', 'r_578']","[41, 6, 174, 3, 10, 146]"
u_192,ozamosi,['r_69'],[10]
u_193,paltman,['r_852'],[5]
u_194,pat,['r_815'],[5]
u_195,pcapriotti,"['r_504', 'r_673']","[12, 1]"
u_196,pdsphil,['r_773'],[2]
u_197,phillip,['r_32'],[1]
u_198,pilt,['r_299'],[6]
u_199,pjhyett,['r_283'],[1]
u_200,pk,['r_195'],[2]
u_201,pkordel,"['r_424', 'r_485']","[11, 8]"
u_202,pluskid,['r_621'],[7]
u_203,purcell,"['r_490', 'r_872']","[3, 2]"
u_204,quicklywilliam,['r_259'],[1]
u_205,reinh,"['r_31', 'r_864']","[2, 15]"
u_206,reubencornel,['r_270'],[25]
u_207,rmm5t,"['r_27', 'r_786', 'r_872']","[6, 1, 23]"
u_208,rsanheim,['r_187'],[3]
u_209,rtomayko,['r_869'],[22]
u_210,ruphy,"['r_504', 'r_516']","[20, 16]"
u_211,russ,['r_770'],[1]
u_212,salicio,['r_785'],[2]
u_213,savetheclocktower,['r_400'],[48]
u_214,schacon,"['r_743', 'r_834']","[22, 17]"
u_215,scharris,['r_166'],[27]
u_216,sco,['r_660'],[34]
u_217,sd,['r_255'],[1]
u_218,seaofclouds,['r_688'],[83]
u_219,shayarnett,"['r_220', 'r_856']","[1, 21]"
u_220,sintaxi,['r_856'],[7]
u_221,slim,['r_795'],[3]
u_222,smith,['r_271'],[4]
u_223,smparkes,['r_488'],[217]
u_224,snoack,['r_885'],[8]
u_225,sprsquish,['r_545'],[1]
u_226,sr,['r_718'],[16]
u_227,sstephenson,['r_400'],[128]
u_228,stephencelis,['r_160'],[4]
u_229,stephenjang,['r_123'],[1]
u_230,stuarthalloway,"['r_95', 'r_98']","[6, 4]"
u_231,subtleGradient,['r_785'],[10]
u_232,sudara,['r_589'],[4]
u_233,sur,['r_387'],[7]
u_234,swdyh,['r_596'],[29]
u_235,tarsius,"['r_453', 'r_872']","[1, 1]"
u_236,technicalpickles,['r_528'],[14]
u_237,technoweenie,"['r_79', 'r_267']","[3, 2]"
u_238,tekkub,"['r_79', 'r_123', 'r_318', 'r_334', 'r_873']","[1, 85, 515, 275, 60]"
u_239,thibaudgg,['r_581'],[3]
u_240,thinkerbot,['r_633'],[4]
u_241,tiegz,['r_518'],[4]
u_242,timothyjoh,['r_652'],[19]
u_243,tmm1,['r_14'],[4]
u_244,tobi,"['r_692', 'r_693']","[2, 1]"
u_245,tobie,['r_400'],[78]
u_246,topfunky,['r_459'],[13]
u_247,toretore,['r_313'],[2]
u_248,towski,['r_79'],[8]
u_249,treybean,['r_295'],[13]
u_250,typester,['r_669'],[1]
u_251,uzytkownik,['r_195'],[382]
u_252,vaanisharma,['r_551'],[1]
u_253,vafada,['r_318'],[2]
u_254,vanpelt,['r_220'],[4]
u_255,vertiginous,['r_246'],[4]
u_256,vic,['r_392'],[4]
u_257,wayneeseguin,['r_510'],[3]
u_258,wch,['r_659'],[3]
u_259,wfarr,['r_453'],[13]
u_260,wilkes,['r_243'],[30]
u_261,wycats,"['r_191', 'r_785']","[2, 12]"
u_262,xaviershay,"['r_190', 'r_704']","[3, 21]"
u_263,xenoterracide,['r_232'],[2]
u_264,yannlugrin,['r_293'],[59]
u_265,yaroot,['r_873'],[1]
u_266,yoshinari-nomura,['r_872'],[2]
u_267,youpy,['r_596'],[1]
u_268,zachinglis,['r_564'],[16]
u_269,zdennis,['r_870'],[12]
u_270,zengjie,['r_776'],[4]
